,country,sum(daily_vaccinations)
0,United States,113475915.0
1,China,66552498.0
2,India,37769458.0
3,United Kingdom,27345336.0
4,England,23018356.0
5,Turkey,12791452.0
6,Brazil,12607628.0
7,Germany,9960472.0
8,Israel,9595543.0
9,Russia,7900944.0
10,Chile,7715728.0
11,France,7379206.0
12,Italy,7235899.0
13,Indonesia,6604725.0
14,Morocco,6448654.0
15,United Arab Emirates,6104852.0
16,Spain,5739100.0
17,Mexico,4802882.0
18,Poland,4721158.0
19,Bangladesh,4613161.0
20,Canada,3436328.0
21,Argentina,2723237.0
22,Saudi Arabia,2551607.0
23,Romania,2272800.0
24,Scotland,2166314.0
25,Serbia,2084989.0
26,Hungary,1873803.0
27,Netherlands,1725755.0
28,Nepal,1523512.0
29,Wales,1453708.0
30,Greece,1351600.0
31,Belgium,1237496.0
32,Portugal,1236855.0
33,Czechia,1226690.0
34,Sweden,1206032.0
35,Austria,1140112.0
36,Colombia,1023838.0
37,Switzerland,937327.0
38,Denmark,888845.0
39,Sri Lanka,845559.0
40,Finland,734981.0
41,Singapore,723437.0
42,Norway,721381.0
43,Northern Ireland,706953.0
44,Slovakia,689463.0
45,South Korea,679628.0
46,Ireland,617607.0
47,Peru,615605.0
48,Dominican Republic,608282.0
49,Bahrain,576661.0
50,Ghana,461678.0
51,Qatar,449046.0
52,Azerbaijan,441740.0
53,Japan,390511.0
54,Lithuania,384995.0
55,Bulgaria,354806.0
56,Malaysia,348513.0
57,Kuwait,334450.0
58,Croatia,333011.0
59,Pakistan,320628.0
60,Myanmar,319471.0
61,Rwanda,315023.0
62,Panama,274070.0
63,Uruguay,271934.0
64,Slovenia,266266.0
65,Hong Kong,259639.0
66,Costa Rica,236250.0
67,Jordan,216107.0
68,Philippines,212345.0
69,Australia,204853.0
70,Estonia,202384.0
71,Maldives,193134.0
72,South Africa,166407.0
73,Mongolia,153322.0
74,Senegal,149768.0
75,Bolivia,148188.0
76,Cambodia,142726.0
77,Lebanon,123005.0
78,Malta,122338.0
79,Cyprus,120197.0
80,Ecuador,115374.0
81,Oman,106915.0
82,Kazakhstan,95075.0
83,Seychelles,90950.0
84,Ukraine,88515.0
85,Latvia,83829.0
86,Algeria,69070.0
87,Luxembourg,61147.0
88,Barbados,56209.0
89,Gibraltar,51783.0
90,Guatemala,51002.0
91,Afghanistan,49509.0
92,Mozambique,46440.0
93,Iceland,44424.0
94,Angola,42971.0
95,Zimbabwe,40841.0
96,Thailand,40540.0
97,Cayman Islands,36892.0
98,El Salvador,33923.0
99,Jersey,33179.0
100,Belarus,29991.0
101,Bermuda,29667.0
102,Isle of Man,29130.0
103,Albania,27854.0
104,Antigua and Barbuda,27007.0
105,Macao,25380.0
106,New Zealand,23393.0
107,Guernsey,22313.0
108,Vietnam,21513.0
109,Saint Lucia,19416.0
110,Cote d'Ivoire,18849.0
111,Monaco,17979.0
112,Jamaica,16749.0
113,Honduras,16083.0
114,Guyana,14387.0
115,Iran,13385.0
116,Paraguay,13306.0
117,Kenya,13146.0
118,Dominica,12854.0
119,Moldova,12479.0
120,Belize,11723.0
121,Suriname,9899.0
122,Northern Cyprus,8846.0
123,Venezuela,8704.0
124,Malawi,8628.0
125,Nigeria,7997.0
126,Saint Kitts and Nevis,7774.0
127,Grenada,7710.0
128,San Marino,6680.0
129,Turks and Caicos Islands,6438.0
130,Tunisia,6427.0
131,Montenegro,6265.0
132,Anguilla,5617.0
133,Uganda,5551.0
134,North Macedonia,5292.0
135,Faeroe Islands,5259.0
136,Andorra,3357.0
137,Mauritius,3251.0
138,Liechtenstein,3114.0
139,Saint Helena,3000.0
140,Greenland,2541.0
141,Falkland Islands,2205.0
142,Egypt,1314.0
143,Montserrat,1002.0
144,Trinidad and Tobago,857.0
145,Saint Vincent and the Grenadines,432.0
146,Equatorial Guinea,0.0
147,Bahamas,0.0
148,Laos,0.0
149,Guinea,0.0
