,country,sum(daily_vaccinations_per_million)
0,Gibraltar,1537003.0
1,Israel,1108594.0
2,Seychelles,924853.0
3,Falkland Islands,633078.0
4,United Arab Emirates,617250.0
5,Cayman Islands,561337.0
6,Saint Helena,494160.0
7,Bermuda,476403.0
8,Wales,461078.0
9,Monaco,458151.0
10,England,408945.0
11,Chile,403619.0
12,United Kingdom,402813.0
13,Scotland,396521.0
14,Anguilla,374419.0
15,Northern Ireland,373327.0
16,Maldives,357299.0
17,Isle of Man,342574.0
18,United States,339302.0
19,Bahrain,338885.0
20,Guernsey,332772.0
21,Jersey,328269.0
22,Serbia,306407.0
23,Malta,277071.0
24,Antigua and Barbuda,275775.0
25,Montserrat,200446.0
26,San Marino,196830.0
27,Barbados,195596.0
28,Hungary,193967.0
29,Dominica,178544.0
30,Morocco,174710.0
31,Turks and Caicos Islands,166286.0
32,Qatar,155869.0
33,Denmark,153457.0
34,Estonia,152566.0
35,Turkey,151670.0
36,Saint Kitts and Nevis,146147.0
37,Lithuania,141424.0
38,Cyprus,137234.0
39,Norway,133067.0
40,Finland,132649.0
41,Iceland,130181.0
42,Greece,129673.0
43,Slovenia,128076.0
44,Austria,126589.0
45,Slovakia,126284.0
46,Ireland,125076.0
47,Poland,124743.0
48,Singapore,123660.0
49,Spain,122753.0
50,Portugal,121292.0
51,Italy,119675.0
52,Sweden,119415.0
53,Germany,118882.0
54,Romania,118141.0
55,Czechia,114553.0
56,Switzerland,108303.0
57,France,108284.0
58,Faeroe Islands,107627.0
59,Belgium,106777.0
60,Saint Lucia,105729.0
61,Netherlands,100712.0
62,Luxembourg,97678.0
63,Canada,91050.0
64,Liechtenstein,81655.0
65,Croatia,81119.0
66,Kuwait,78299.0
67,Uruguay,78283.0
68,Saudi Arabia,73291.0
69,Grenada,68525.0
70,Panama,63518.0
71,Argentina,60255.0
72,Brazil,59314.0
73,Dominican Republic,56073.0
74,Russia,54150.0
75,Nepal,52298.0
76,Bulgaria,51062.0
77,Mongolia,46768.0
78,Costa Rica,46377.0
79,China,46230.0
80,Greenland,44748.0
81,Latvia,44441.0
82,Azerbaijan,43573.0
83,Andorra,43446.0
84,Sri Lanka,39490.0
85,Macao,39084.0
86,Mexico,37252.0
87,Hong Kong,34632.0
88,Belize,29482.0
89,Bangladesh,28014.0
90,India,27367.0
91,Rwanda,24323.0
92,Indonesia,24143.0
93,Northern Cyprus,23146.0
94,Jordan,21177.0
95,Oman,20943.0
96,Colombia,20125.0
97,Peru,18671.0
98,Guyana,18283.0
99,Lebanon,18020.0
100,Suriname,16867.0
101,Ghana,14860.0
102,South Korea,13256.0
103,Bolivia,12697.0
104,Malaysia,10770.0
105,Montenegro,9975.0
106,Albania,9676.0
107,Senegal,8945.0
108,Cambodia,8535.0
109,Australia,8034.0
110,Ecuador,6541.0
111,Myanmar,5871.0
112,Jamaica,5655.0
113,El Salvador,5235.0
114,Kazakhstan,5066.0
115,New Zealand,4851.0
116,Saint Vincent and the Grenadines,3894.0
117,Belarus,3198.0
118,Moldova,3094.0
119,Japan,3086.0
120,Guatemala,2847.0
121,South Africa,2808.0
122,Zimbabwe,2750.0
123,Mauritius,2554.0
124,North Macedonia,2548.0
125,Ukraine,2024.0
126,Philippines,1939.0
127,Paraguay,1866.0
128,Honduras,1627.0
129,Algeria,1568.0
130,Mozambique,1488.0
131,Pakistan,1451.0
132,Angola,1308.0
133,Afghanistan,1277.0
134,Cote d'Ivoire,714.0
135,Trinidad and Tobago,611.0
136,Thailand,580.0
137,Tunisia,545.0
138,Malawi,451.0
139,Venezuela,305.0
140,Kenya,243.0
141,Vietnam,222.0
142,Iran,159.0
143,Uganda,121.0
144,Nigeria,44.0
145,Egypt,12.0
146,Equatorial Guinea,0.0
147,Bahamas,0.0
148,Laos,0.0
149,Guinea,0.0
